ID,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
555963,992,3,1389139200,627,1,0,,0,4988.633333333333
610614,143,2,1403740800,731,1,1,,0,8506.875
64013,421,5,1384300800,941,1,1,,1,8492.958333333334
30639,246,4,1398124800,1157,1,1,,0,10080.241666666667
418604,960,1,1377993600,720,1,1,,0,8025.658333333334
468037,313,5,1383955200,697,1,0,,0,6401.216666666666
271589,291,6,1416355200,534,1,0,,0,5189.5
77924,924,6,1394150400,333,1,0,,0,3073.266666666667
247149,337,2,1427414400,430,1,1,,1,6199.383333333333
576822,1024,4,1384300800,607,1,0,,0,4500.55
108538,56,3,1422748800,402,1,1,,0,6343.666666666667
645670,507,3,1418601600,532,1,0,,0,5652.525
601663,970,5,1361664000,406,1,0,,0,3264.325
502588,846,2,1363478400,828,1,0,,0,7493.841666666666
66732,549,3,1423526400,582,1,0,,0,4958.808333333333
627113,1095,4,1366761600,852,1,1,,1,7060.875
691184,859,5,1419638400,709,1,1,,0,7348.325
467913,914,2,1426464000,1178,1,1,,1,10806.891666666666
304890,888,2,1375228800,634,1,0,,0,5898.658333333334
274018,442,2,1432857600,517,1,1,,0,6063.941666666667
644430,34,6,1363824000,905,1,0,,0,7868.05
669009,199,4,1432166400,581,1,0,,0,6267.058333333333
518722,854,4,1359504000,657,1,1,,0,6487.05
505976,611,2,1424649600,485,1,1,,0,6167.233333333334
291572,808,4,1398384000,528,1,0,,1,5488.533333333334
39071,1105,4,1382918400,410,1,0,,0,3532.625
319154,866,5,1374710400,445,1,0,,0,5679.666666666667
166603,222,6,1435708800,367,1,0,,0,3394.016666666667
428262,476,2,1383436800,753,1,1,,0,6924.741666666667
20314,800,1,1403913600,494,1,0,,0,4614.791666666667
603091,330,1,1388966400,408,1,0,,0,3566.858333333333
500421,507,3,1407801600,648,1,1,,0,7083.891666666666
388016,98,7,1408752000,0,0,0,,0,0.0
268257,1026,2,1367798400,1044,1,0,,0,7308.783333333334
216326,990,5,1357430400,719,1,0,,0,6670.958333333333
40755,8,6,1405123200,345,1,0,,0,3193.625
8654,611,3,1425772800,566,1,1,,1,6468.841666666666
37301,257,2,1415318400,777,1,1,,0,7434.033333333334
485623,840,4,1407283200,1189,1,1,,0,9046.75
214073,848,5,1386806400,998,1,1,,1,10342.666666666666
406145,124,6,1365379200,297,1,0,,0,2546.608333333333
397642,1028,2,1437004800,438,1,0,,1,4175.408333333334
273960,95,2,1369440000,1099,1,1,,0,9482.158333333333
12104,208,1,1381104000,323,1,0,,0,2117.825
361202,249,2,1359936000,449,1,0,,0,4236.266666666666
79347,887,3,1430697600,614,1,1,,0,6593.95
462803,73,1,1383696000,601,1,1,,1,6556.233333333334
141713,13,4,1401840000,501,1,1,,1,5631.35
703618,1049,2,1424044800,580,1,0,,1,4005.225
308360,144,4,1424131200,769,1,1,,0,8398.316666666668
317995,847,3,1370044800,1018,1,1,,1,8673.058333333332
364408,796,3,1358467200,717,1,0,,0,6344.641666666666
27886,396,4,1358467200,1139,1,0,,0,9131.35
706814,1080,7,1398124800,0,0,0,,0,0.0
514516,675,5,1418428800,338,1,0,,0,2968.9083333333333
577373,1099,1,1424822400,1236,1,1,,0,13024.491666666667
190561,791,1,1383350400,858,1,0,,0,7033.8
92512,1014,2,1421193600,1476,1,0,,0,12079.975
565163,487,2,1379462400,737,1,1,,0,7720.233333333334
500246,427,3,1379894400,701,1,0,,1,5893.425
223708,254,5,1424390400,282,1,1,,0,3371.9
555732,43,5,1392768000,710,1,0,,0,6383.133333333333
654150,1074,2,1385424000,421,1,0,,0,3434.758333333333
558350,549,6,1396828800,380,1,0,,0,3678.65
52167,1095,2,1396310400,720,1,1,,0,6454.475
296981,295,1,1372118400,612,1,0,,1,4424.383333333333
332143,319,1,1362182400,863,1,0,,1,7279.933333333333
426553,1002,4,1430438400,642,1,0,,0,6329.333333333333
481847,448,6,1369612800,544,1,0,,0,5145.291666666667
100496,527,2,1357948800,1046,1,0,,1,8959.791666666666
706377,255,5,1435881600,652,1,1,,0,7271.775
599169,581,5,1431993600,651,1,1,,0,7023.666666666667
55294,185,6,1378512000,550,1,0,,0,5834.208333333333
218737,244,6,1370563200,538,1,0,,0,4833.775
266706,1082,6,1372809600,877,1,0,,0,6201.925
441953,216,5,1405123200,837,1,1,,0,7630.283333333334
127184,350,4,1370995200,508,1,1,,0,6033.55
312223,748,1,1383696000,822,1,1,,0,10517.083333333334
583377,718,1,1411948800,962,1,0,,0,8513.716666666667
523743,739,5,1393891200,789,1,1,,0,9559.45
476775,614,7,1434326400,0,0,0,,0,0.0
620142,673,2,1409184000,615,1,1,,0,7228.558333333333
460092,83,1,1369008000,367,1,0,,0,3473.358333333333
169260,976,3,1403827200,598,1,0,,0,5506.016666666666
177084,637,6,1405036800,518,1,0,,0,5448.766666666666
645354,122,2,1436572800,714,1,1,,0,6919.058333333333
645737,898,1,1386288000,1013,1,1,,0,10005.658333333333
272578,1080,4,1358035200,710,1,0,,0,7156.8
600374,291,1,1414540800,1290,1,1,,0,12261.916666666666
566038,24,4,1357776000,711,1,0,,1,6482.083333333333
381862,1096,7,1385683200,0,0,0,,0,0.0
535335,637,5,1429660800,860,1,0,,0,7733.383333333333
499411,1002,2,1392422400,850,1,1,,0,7843.9
625219,666,1,1414022400,497,1,0,,0,4579.466666666666
61823,1089,7,1410134400,0,0,0,,0,0.0
653471,334,6,1378684800,515,1,0,,0,5073.5
441789,300,6,1401494400,951,1,0,,1,7797.908333333334
155435,207,1,1380499200,1166,1,0,,0,8556.891666666666
226567,683,3,1421193600,854,1,0,,0,7042.041666666667
107330,1094,2,1428105600,394,1,1,,0,5348.666666666667
149417,700,4,1373673600,576,1,0,,0,5097.75
191690,959,2,1426896000,744,1,0,,0,6380.1
146544,766,7,1438214400,0,0,0,,0,0.0
383603,1011,6,1361059200,977,1,0,,0,7446.591666666666
452941,570,5,1369267200,676,1,0,,0,4880.333333333333
629103,685,2,1429660800,689,1,1,,0,7786.758333333333
30258,158,3,1433030400,681,1,1,,1,7856.208333333333
219501,66,5,1391644800,522,1,0,,1,5010.183333333333
528607,76,2,1418947200,1080,1,1,,0,11685.566666666668
397525,572,3,1412294400,458,1,0,,0,4715.366666666667
314281,184,6,1379808000,510,1,0,,0,4846.091666666666
489418,1034,5,1433203200,775,1,1,,0,7682.591666666666
182776,559,7,1366761600,0,0,0,,0,0.0
335928,862,2,1361059200,1561,1,0,,1,11823.183333333332
198358,171,2,1398902400,962,1,1,,0,9911.508333333333
400219,33,7,1365033600,0,0,0,,0,0.0
427476,936,4,1427846400,963,1,1,,0,10518.0
31892,948,2,1427241600,1682,1,1,,0,9480.2
109374,371,6,1376438400,551,1,0,,0,5010.125
385320,242,1,1422230400,378,1,1,,0,4794.433333333333
517169,133,5,1359763200,622,1,0,,0,5718.05
369733,1031,1,1383955200,681,1,1,,0,7586.6
71343,850,4,1379116800,710,1,1,,0,6724.916666666667
42363,860,5,1419033600,833,1,1,,0,9270.258333333333
612665,836,6,1384387200,301,1,0,,0,2513.2833333333333
428563,965,6,1358121600,908,1,0,,0,7859.291666666667
610249,1096,1,1368403200,763,1,1,,0,7884.075
669222,504,3,1384041600,836,1,1,,1,7489.041666666667
484348,230,1,1370908800,1327,1,0,,1,9719.525
194089,826,1,1361750400,1170,1,1,,0,11398.416666666666
328888,975,2,1357689600,767,1,1,,1,7985.358333333334
485880,602,2,1369612800,547,1,0,,1,5114.95
699868,953,5,1414627200,553,1,1,,0,5576.458333333333
265929,187,6,1436918400,491,1,0,,0,5262.791666666667
154648,792,5,1424476800,599,1,0,,0,5794.658333333334
376328,1035,4,1372550400,744,1,1,,0,6430.2
530275,523,3,1365033600,1515,1,1,,1,12063.191666666668
441109,723,4,1371081600,461,1,0,,1,4766.725
26050,1025,7,1421884800,0,0,0,,0,0.0
247671,18,7,1407801600,0,0,0,,0,0.0
615467,997,3,1358726400,378,1,1,,1,4483.133333333333
267972,400,6,1382745600,805,1,0,,0,6759.4
22318,1047,2,1390780800,491,1,0,,0,4315.941666666667
430083,819,1,1432598400,472,1,0,,0,4840.5
510014,668,1,1437868800,1562,1,1,,0,13221.441666666668
343803,585,4,1418947200,666,1,0,,0,5205.825
85161,99,1,1366934400,404,1,0,,0,3911.366666666667
505852,965,6,1379116800,847,1,0,,0,7008.683333333333
266131,590,4,1389744000,376,1,1,,0,4699.1
397091,709,2,1430870400,1682,1,1,,0,13834.05
112013,58,7,1383782400,0,0,0,,0,0.0
492019,409,7,1425600000,0,0,0,,0,0.0
73240,850,6,1379635200,826,1,0,,0,7184.875
203948,1058,3,1421971200,737,1,1,,0,7196.825
603210,1067,7,1392336000,0,0,0,,0,0.0
82813,777,1,1433635200,0,0,0,,1,0.0
634511,155,3,1412380800,632,1,1,,0,6671.441666666667
28171,598,1,1383955200,871,1,1,,0,7317.575
198571,493,2,1437868800,902,1,1,,0,10393.758333333333
70073,628,7,1395792000,0,0,0,,1,0.0
551321,524,1,1379376000,1193,1,0,,1,9134.866666666667
509286,966,4,1426636800,585,1,0,,1,4620.175
24413,1022,5,1362960000,791,1,0,,1,6142.383333333333
367168,380,3,1389139200,1720,1,1,,0,18230.816666666666
103724,132,3,1409443200,579,1,1,,0,6050.083333333333
704886,400,5,1370995200,999,1,0,,0,8142.008333333333
568270,988,4,1392854400,790,1,1,,0,6206.166666666667
627934,906,2,1389139200,1476,1,1,,0,13815.791666666666
520091,1028,2,1408320000,689,1,1,,0,6635.608333333334
505933,1100,6,1374192000,484,1,0,,0,4527.666666666667
67603,759,1,1388534400,607,1,0,,0,5032.775
96570,223,1,1361491200,716,1,0,,0,6039.691666666667
696883,936,7,1408320000,0,0,0,,0,0.0
216455,780,6,1359504000,341,1,0,,0,2919.8333333333335
472114,259,5,1428969600,2677,1,1,,0,13154.641666666666
437836,131,6,1436486400,582,1,0,,0,6130.841666666666
467331,251,3,1415923200,2241,1,1,,0,17151.791666666668
423483,1079,6,1382140800,517,1,0,,0,5986.933333333333
533535,1003,3,1356998400,1029,1,1,,0,8747.366666666667
82465,980,4,1402012800,450,1,0,,0,5098.116666666667
245480,654,2,1373500800,766,1,1,,0,7526.85
155723,966,4,1428624000,517,1,0,,1,4347.775
167485,1020,1,1401667200,929,1,0,,0,7111.3
574217,969,3,1372809600,610,1,1,,0,4629.675
307718,1038,2,1361318400,490,1,0,,1,5069.875
250666,516,3,1431475200,453,1,0,,1,4817.875
233447,733,1,1426291200,3171,1,0,,0,14347.508333333333
9408,595,6,1364860800,1881,1,0,,0,14861.025
532318,260,3,1402358400,962,1,1,,1,7884.916666666667
213221,768,6,1367280000,1251,1,0,,0,11032.966666666667
149118,940,1,1357948800,627,1,0,,0,5473.125
643815,364,4,1395273600,563,1,0,,0,4475.491666666667
205464,506,3,1378166400,763,1,0,,1,5900.5
172737,671,3,1370476800,507,1,1,,1,5834.158333333334
358803,300,6,1399334400,862,1,0,,0,7259.633333333333
432064,84,2,1371600000,1563,1,1,,0,14312.816666666668
243176,219,4,1425081600,455,1,1,,0,4557.8
165487,934,5,1371513600,764,1,1,,0,7005.825
206630,125,3,1426118400,1906,1,1,,1,16179.991666666667
380228,176,3,1430006400,757,1,1,,0,7251.183333333333
278339,223,2,1395964800,675,1,0,,0,5897.425
125602,326,1,1362268800,429,1,1,,0,5244.116666666667
707930,339,2,1397088000,745,1,1,,0,6146.058333333333
647013,872,3,1407542400,659,1,0,,1,6001.808333333333
404917,579,7,1428710400,0,0,0,,0,0.0
607690,974,5,1368576000,1599,1,0,,0,11096.541666666666
63394,979,7,1359763200,0,0,0,,0,0.0
334403,880,3,1416441600,806,1,1,,0,7684.808333333333
440195,910,7,1417046400,0,0,0,,0,0.0
87636,1084,6,1436918400,614,1,0,,0,6256.866666666667
189540,92,5,1431475200,453,1,0,,0,4477.1
18218,14,6,1423094400,402,1,0,,0,3905.675
396021,587,1,1419120000,960,1,0,,1,9829.375
442052,230,4,1387411200,856,1,1,,0,8595.816666666668
397202,689,6,1438041600,589,1,0,,0,6469.5
251121,599,1,1424217600,1096,1,1,,0,10749.383333333333
463013,596,7,1421193600,0,0,0,,0,0.0
655331,576,1,1424995200,749,1,0,,0,5547.225
327407,141,4,1369353600,493,1,0,,0,3939.616666666667
355157,751,1,1379635200,0,0,0,,1,0.0
654124,877,5,1414108800,925,1,0,,0,7760.583333333333
602473,375,2,1405555200,948,1,1,,0,9947.525
414480,230,1,1410134400,988,1,0,,0,7474.258333333333
574764,545,3,1362787200,1087,1,1,,0,10629.975
136740,1022,1,1378684800,1093,1,1,,0,12102.916666666666
240843,597,3,1423958400,756,1,1,,1,6762.5
130323,559,7,1382659200,0,0,0,,0,0.0
688030,1024,6,1409443200,825,1,0,,0,6776.058333333333
43133,36,2,1427673600,1205,1,1,,0,13091.4
172856,702,2,1397952000,351,1,1,,1,4424.491666666667
446048,623,7,1437350400,0,0,0,,0,0.0
36534,105,4,1363219200,483,1,0,,0,4292.75
612801,902,2,1369180800,648,1,1,,0,6116.683333333333
256750,11,6,1369526400,786,1,0,,0,6435.533333333334
623446,1039,5,1422489600,629,1,0,,0,5701.65
63314,102,1,1388016000,1174,1,1,,0,14488.825
238452,543,5,1362787200,175,1,0,,1,1563.375
43919,827,4,1419120000,1910,1,0,,1,14098.833333333334
258378,110,3,1413072000,647,1,1,,0,6320.95
59774,945,1,1423785600,698,1,1,,1,7753.975
31637,582,3,1436227200,749,1,0,,0,5714.725
673741,554,4,1392163200,428,1,0,,0,3882.675
659942,486,2,1401840000,384,1,0,,1,3799.008333333333
349639,637,6,1413244800,520,1,0,,0,5310.358333333334
394865,806,5,1378252800,578,1,0,,0,5761.908333333334
255648,887,6,1370736000,462,1,0,,0,4759.575
379128,374,6,1373068800,668,1,0,,0,6595.558333333333
540897,1025,5,1386720000,804,1,0,,1,6827.933333333333
662220,638,2,1393718400,431,1,0,,1,4794.975
160268,123,6,1437782400,490,1,0,,0,5043.108333333334
654290,905,4,1370822400,1108,1,1,,0,9309.458333333334
599039,536,5,1377561600,989,1,0,,1,8414.5
651027,763,7,1408492800,0,0,0,,0,0.0
553569,191,6,1425772800,694,1,0,,0,7134.833333333333
271750,957,4,1436140800,948,1,1,,0,8119.666666666667
709864,268,4,1435190400,618,1,1,,0,6925.641666666666
300796,654,6,1370476800,266,1,0,,0,2486.3
413674,612,6,1394928000,388,1,0,,0,3562.475
8402,747,3,1397433600,567,1,0,,1,5660.766666666666
310059,656,6,1371168000,380,1,0,,0,3224.016666666667
319105,368,5,1390089600,592,1,0,,1,6358.758333333333
689752,959,3,1379376000,552,1,0,,0,4682.341666666666
516276,329,2,1414972800,708,1,1,,0,8306.55
338342,97,3,1363824000,535,1,0,,1,4781.958333333333
666229,314,2,1387843200,661,1,1,,1,7660.275
8353,463,7,1367971200,0,0,0,,0,0.0
386012,258,1,1420502400,0,0,0,,0,0.0
471619,283,3,1373068800,621,1,0,,0,5555.491666666667
612347,556,1,1378684800,754,1,0,,0,5795.866666666667
514445,388,5,1404086400,1211,1,1,,0,10984.55
396179,67,3,1414713600,837,1,1,,1,8607.858333333334
590638,725,5,1432512000,677,1,1,,0,7074.133333333333
683448,219,4,1387065600,416,1,1,,0,3287.425
218062,1077,2,1414454400,479,1,0,,0,3743.2
706606,322,4,1400284800,589,1,0,,0,5069.516666666666
453487,814,3,1385942400,581,1,1,,1,5854.5
240904,134,7,1383696000,0,0,0,,0,0.0
326681,54,4,1438128000,657,1,0,,0,6735.141666666666
272937,662,5,1420243200,854,1,1,,0,9006.616666666667
11415,126,7,1364947200,0,0,0,,0,0.0
436957,1001,6,1407888000,471,1,0,,0,4453.366666666667
171033,657,4,1421107200,598,1,0,,0,4856.1
632521,590,4,1392249600,319,1,0,,0,3581.6666666666665
179002,193,3,1437696000,0,0,0,,1,0.0
345971,168,6,1422057600,465,1,0,,0,4367.641666666666
463457,16,1,1374883200,839,1,0,,0,6599.991666666667
674866,244,1,1371686400,738,1,1,,0,7733.95
479231,545,7,1437696000,0,0,0,,0,0.0
369184,1032,6,1386288000,492,1,0,,0,4780.933333333333
564608,290,5,1377302400,987,1,1,,0,8457.55
421305,548,4,1379030400,335,1,1,,0,4185.633333333333
312789,733,1,1360022400,3508,1,1,,1,16089.358333333334
548456,654,4,1398556800,716,1,1,,0,7232.733333333334
195259,272,6,1395273600,377,1,0,,0,3739.7833333333333
669573,1017,3,1424131200,1176,1,1,,0,9815.741666666667
599293,708,2,1386892800,462,1,1,,0,4898.25
33900,819,4,1397433600,454,1,1,,0,5510.466666666666
74619,99,3,1425772800,372,1,0,,0,3907.0
284898,982,2,1428019200,710,1,0,,0,6375.516666666666
402135,683,5,1393718400,0,0,1,,1,0.0
447277,194,3,1424390400,373,1,0,,0,3984.1
588164,853,2,1387152000,1201,1,1,,0,12043.05
456931,53,1,1397520000,650,1,1,,1,7944.9
221701,281,4,1423872000,508,1,1,,0,5834.441666666667
535271,101,2,1379980800,879,1,1,,0,8808.633333333333
171677,440,5,1370217600,769,1,1,,1,7686.8
226127,994,2,1380499200,435,1,1,,0,4922.483333333334
414979,168,2,1374969600,930,1,1,,1,9479.075
500051,48,7,1387065600,0,0,0,,0,0.0
329177,652,6,1396742400,501,1,0,,0,4503.466666666666
541113,934,6,1412121600,474,1,0,,0,4296.708333333333
124681,223,6,1432512000,589,1,0,,0,6240.491666666667
284177,378,5,1414368000,0,0,0,,1,0.0
90749,865,3,1429228800,624,1,1,,0,7432.325
237894,466,5,1398297600,861,1,0,,0,7012.983333333334
506152,789,5,1406764800,546,1,0,,0,4898.766666666666
622882,61,7,1400284800,0,0,0,,0,0.0
34430,765,4,1367971200,1068,1,1,,0,10130.2
268594,673,1,1392940800,500,1,0,,0,5164.35
368485,258,3,1359158400,444,1,0,,0,4482.075
602478,740,3,1429574400,499,1,1,,0,6118.691666666667
202788,1080,1,1432252800,764,1,0,,0,7481.8
675955,918,5,1380326400,661,1,1,,0,6081.891666666666
611958,857,6,1360108800,1004,1,0,,0,7790.041666666667
597571,837,1,1422489600,482,1,1,,0,4966.941666666667
317074,516,7,1388880000,0,0,0,,0,0.0
380943,446,2,1372896000,505,1,0,,0,4254.416666666667
649251,835,4,1361664000,0,0,1,,0,0.0
386136,140,7,1428019200,0,0,0,,0,0.0
411910,207,3,1435708800,1584,1,1,,0,15210.208333333334
119756,961,4,1375488000,668,1,1,,0,6316.733333333334
251963,772,2,1379203200,507,1,1,,0,4539.65
292719,1089,2,1365292800,1050,1,1,,0,10199.716666666667
77065,521,3,1363305600,421,1,1,,0,5397.591666666666
206967,823,5,1431216000,600,1,0,,0,5802.4
521339,436,6,1395100800,426,1,0,,0,3663.6916666666666
363365,483,7,1360281600,0,0,0,,0,0.0
481077,215,2,1363824000,333,1,0,,0,3905.608333333333
711386,109,5,1378080000,802,1,0,,0,7137.866666666667
66970,858,1,1421798400,590,1,1,,0,6643.525
435729,425,4,1383955200,501,1,1,,0,4986.658333333334
426284,357,5,1365120000,905,1,0,,1,7147.15
435236,255,1,1419638400,575,1,1,,0,7253.35
199039,798,6,1405209600,343,1,0,,0,3133.325
99250,366,6,1386806400,304,1,0,,0,2851.0916666666667
580140,534,2,1390953600,510,1,0,,1,4902.266666666666
254820,179,5,1381708800,1176,1,1,,0,10769.375
155130,258,2,1426809600,464,1,0,,1,4741.808333333333
503682,693,5,1384300800,384,1,0,,1,4022.6583333333333
288534,999,4,1380153600,685,1,1,,1,8095.108333333334
67050,834,6,1371081600,492,1,0,,0,4812.591666666666
174771,512,4,1424131200,1410,1,0,,1,8209.958333333334
442288,818,2,1420934400,662,1,1,,0,7322.558333333333
606734,534,6,1390435200,606,1,0,,0,6170.191666666667
431156,1084,2,1364169600,1099,1,1,,0,8782.491666666667
424121,34,2,1364428800,861,1,0,,0,6340.6
557753,101,4,1418601600,686,1,0,,0,6935.733333333334
520831,187,1,1431129600,885,1,1,,0,9209.35
376589,20,1,1418774400,1041,1,1,,0,10963.658333333333
7670,828,7,1428710400,0,0,0,,0,0.0
303546,434,1,1389744000,823,1,1,,1,11006.333333333334
236740,738,1,1391817600,864,1,1,,0,11488.158333333333
145734,351,5,1386374400,569,1,1,,0,6447.125
134420,1020,4,1362873600,905,1,0,,0,6708.85
691699,86,7,1410393600,0,0,0,,0,0.0
233889,266,3,1407542400,573,1,1,,0,5230.466666666666
653554,608,5,1437609600,1024,1,1,,0,8935.941666666668
481046,708,5,1363392000,493,1,1,,1,4894.708333333333
423103,734,3,1381190400,605,1,1,,0,6461.325
693486,776,7,1423612800,0,0,0,,0,0.0
90193,1060,2,1383868800,853,1,1,,0,8805.241666666667
119482,182,2,1428969600,507,1,1,,0,6630.041666666667
525167,542,3,1394064000,431,1,0,,0,4848.691666666667
239754,602,1,1432339200,610,1,0,,0,5892.808333333333
332806,101,4,1365033600,777,1,1,,0,7487.933333333333
142056,784,7,1371168000,0,0,0,,0,0.0
673000,679,7,1389744000,0,0,0,,0,0.0
567353,535,4,1373328000,793,1,0,,1,6343.45
696641,844,4,1386633600,516,1,1,,0,5121.341666666666
628766,595,7,1387929600,0,0,0,,0,0.0
544695,25,6,1390521600,1831,1,0,,0,14260.575
652921,416,3,1437436800,1819,1,1,,0,15249.458333333334
436682,539,4,1398988800,966,1,0,,0,8603.033333333333
158580,77,3,1398988800,642,1,1,,0,6892.541666666667
184394,641,2,1360108800,493,1,0,,0,4250.558333333333
523534,445,6,1372464000,1201,1,0,,0,8453.825
133026,318,5,1433030400,822,1,1,,0,8417.166666666666
296285,394,3,1371427200,539,1,0,,0,5779.116666666667
14477,761,5,1373673600,1014,1,1,,1,9186.225
130799,706,2,1414368000,578,1,1,,0,7120.725
17306,41,5,1426809600,433,1,0,,0,5574.091666666666
617975,894,1,1429747200,958,1,0,,1,7351.916666666667
668657,169,6,1359936000,801,1,0,,0,7275.425
460228,1012,1,1367798400,0,0,0,,0,0.0
26534,310,4,1393372800,868,1,1,,0,8863.166666666666
8504,1003,3,1376784000,847,1,1,,0,8484.0
253700,970,3,1370390400,429,1,1,,0,3962.266666666667
586553,239,5,1432857600,627,1,1,,0,6239.741666666667
463307,998,1,1386979200,647,1,1,,0,6528.566666666667
245670,278,5,1383609600,692,1,0,,0,6472.016666666666
291128,49,2,1425945600,539,1,0,,1,6055.575
615053,603,3,1438214400,0,0,1,,1,0.0
263461,658,2,1425772800,824,1,1,,0,8545.375
42414,1072,3,1401062400,786,1,1,,0,8379.441666666668
527688,1028,2,1380153600,587,1,1,,1,6481.591666666666
697845,288,4,1392768000,489,1,1,,0,6320.775
28136,111,1,1363564800,838,1,1,,1,8896.358333333334
245444,581,2,1389484800,703,1,1,,0,7824.783333333334
394116,979,7,1358899200,0,0,0,,0,0.0
601504,644,7,1405209600,0,0,0,,0,0.0
349857,589,1,1409356800,577,1,1,,0,7071.233333333334
658989,295,2,1401926400,619,1,0,,0,4517.766666666666
73913,388,1,1371600000,1586,1,1,,0,14359.391666666666
579219,9,6,1420329600,621,1,0,,0,6959.908333333334
628094,445,4,1391299200,1381,1,1,,1,10290.058333333332
430442,204,4,1413072000,445,1,0,,1,4872.416666666667
694123,296,1,1401321600,1011,1,1,,0,10047.933333333332
637678,497,7,1422144000,0,0,0,,0,0.0
697006,481,1,1435276800,523,1,1,,0,6642.175
174454,1100,6,1379548800,569,1,0,,0,5367.183333333333
290329,588,6,1408492800,614,1,0,,0,5704.166666666667
79977,290,2,1361750400,918,1,1,,1,9121.933333333332
561228,1107,4,1425859200,635,1,0,,1,5369.866666666667
645402,1019,6,1418860800,820,1,0,,0,7932.025
187053,945,5,1381449600,545,1,0,,0,4619.391666666666
545699,770,7,1419897600,0,0,0,,0,0.0
101633,1041,4,1361404800,0,0,1,,1,0.0
281213,433,3,1404172800,898,1,1,,1,9103.575
303302,190,2,1382745600,738,1,1,,0,7931.341666666666
358148,843,3,1357171200,962,1,1,,1,10164.233333333334
686634,937,3,1421625600,689,1,1,,1,7475.008333333333
66159,333,7,1357776000,0,0,0,,0,0.0
668588,302,3,1384128000,337,1,1,,0,3817.65
402857,329,7,1403827200,0,0,0,,0,0.0
354382,1034,6,1364428800,290,1,0,,0,2520.6583333333333
12107,734,6,1383868800,289,1,0,,0,2851.55
469435,892,4,1387324800,861,1,1,,0,8689.308333333332
500089,96,4,1358985600,532,1,0,,1,4640.791666666667
290988,578,2,1388361600,762,1,0,,0,6631.691666666667
178794,593,3,1423612800,1035,1,0,,0,7313.766666666666
624708,958,2,1422921600,595,1,1,,0,5992.966666666666
677489,944,5,1387238400,1135,1,1,,1,8985.35
298677,524,5,1433203200,913,1,0,,0,8622.491666666667
703190,311,1,1386892800,1049,1,0,,1,10650.158333333333
130811,501,3,1400976000,615,1,1,,1,6242.083333333333
110239,1039,3,1410739200,1233,1,1,,1,10890.466666666667
624648,511,1,1372982400,863,1,1,,0,7448.8
217090,58,4,1411603200,594,1,1,,0,6160.141666666666
110364,963,5,1369699200,717,1,0,,1,5557.508333333333
678970,860,4,1385769600,638,1,1,,0,5084.233333333334
418148,114,1,1370995200,515,1,0,,0,4327.658333333334
445220,20,3,1411862400,753,1,0,,1,6734.116666666667
